,datetime,averageDanceabilityScore
0,0,0.5253461538461539
1,1,0.38085
2,2,0.25553
3,5,0.37763448275862066
4,6,0.34267317073170733
5,7,0.2962744186046512
6,8,0.31332450980392157
7,9,0.3508163120567376
8,10,0.42920892857142856
9,11,0.4486820689655172
10,12,0.39884000000000003
11,13,0.41493680555555557
12,14,0.5298681481481482
13,15,0.5382943037974683
14,16,0.5365238095238095
15,17,0.5863805555555556
16,18,0.5197114457831326
17,19,0.5947581395348838
18,20,0.4176098591549296
19,21,0.49867543859649127
20,22,0.5421388888888888
21,23,0.4123636363636363
