,endTime,artistName,trackName,msPlayed,danceability,valenceScore,artistGenres,minutesPlayed
0,2022-03-12 10:36,Squarepusher,Squarepusher Theme,381413,0.566,0.541,"['abstract', 'drill and bass', 'electronica', 'intelligent dance music', 'trip hop']",6.356883333333333
1,2022-03-12 15:01,Loure,Mutual Motion,288365,0.706,0.139,['No genre information available'],4.8060833333333335
2,2022-03-12 15:04,Oscar Jerome,No Need - Extended Mix,168896,0.869,0.596,"['indie jazz', 'indie soul', 'uk contemporary jazz']",2.8149333333333333
3,2022-03-12 15:07,Ryoji Ikeda,Luxus 1-3,53461,0.21,0.0291,"['glitch', 'sound art']",0.8910166666666667
4,2022-03-13 10:21,Molchat Doma,Судно (Борис Рижий),4501,0.484,0.467,"['belarusian indie', 'russian post-punk', 'sovietwave']",0.07501666666666666
5,2022-03-13 10:23,Mexican Slum Rats,Sunday,132923,0.423,0.605,['socal indie'],2.2153833333333335
6,2022-03-14 09:25,alva noto,HYbr:ID oval hadron I,89234,0.149,0.0278,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",1.4872333333333334
7,2022-03-14 09:53,alva noto,HYbr:ID oval hadron II,243991,0.466,0.0293,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",4.066516666666667
8,2022-03-14 09:54,alva noto,HYbr:ID oval hadron II,30267,0.466,0.0293,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",0.50445
9,2022-03-14 10:42,alva noto,HYbr:ID oval blackhole,449770,0.139,0.0289,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",7.496166666666666
10,2022-03-14 10:45,alva noto,HYbr:ID oval random,179941,0.578,0.193,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",2.999016666666667
11,2022-03-14 10:50,alva noto,HYbr:ID oval spin,302388,0.211,0.0378,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",5.0398
12,2022-03-14 10:56,alva noto,HYbr:ID oval asimoo,326884,0.401,0.0358,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",5.448066666666667
13,2022-03-14 11:02,alva noto,HYbr:ID oval collider,379294,0.642,0.0372,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",6.321566666666667
14,2022-03-14 11:09,alva noto,HYbr:ID oval p-dance,256136,0.673,0.0377,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",4.268933333333333
15,2022-03-14 11:13,alva noto,HYbr:ID oval noise,240701,0.124,0.0349,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",4.011683333333333
16,2022-03-14 11:24,alva noto,Xerrox Kirlian,372200,0.205,0.0313,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",6.203333333333333
17,2022-03-14 11:29,alva noto,Xerrox Neige,295892,0.137,0.0508,"['abstract idm', 'ambient', 'drone', 'glitch', 'intelligent dance music']",4.931533333333333
